iata,name,country
UJ,AlMasria Universal Airlines,Egypt
UK,Air Vistara,India
UL,SriLankan Airlines,Sri Lanka
UM,Air Zimbabwe,Zimbabwe
UN,Transaero Airlines,Russia
UO,Hong Kong Express Airways,Hong Kong SAR of China
UP,Bahamasair,Bahamas
UQ,Skyjet Airlines,Uganda
UR,UTair-Express,Russia
US,US Airways,United States
UT,UTair Aviation,Russia
UU,Air Austral,France
UW,UVT Aero,Russia
UX,Air Europa,Spain
UZ,El-Buraq Air Transport,Libya
V0,Conviasa,Venezuela
V1,VIA Líneas Aéreas,Argentina
V2,Vision Airlines (V2),United States
V3,Carpatair,Romania
V5,Danube Wings (V5),Slovakia
V6,VIP Ecuador,Ecuador
V7,VOLOTEA Airways,Spain
V8,ATRAN Cargo Airlines,Russian Federation
V9,Star1 Airlines,Lithuania
VA,Virgin Australia,Australia
VC,Strategic Airlines,Australia
VD,Air Libert,France
VE,Volare Airlines,Italy
VF,Valuair,Singapore
VG,VLM Airlines,Belgium
VH,Virgin Pacific,Fiji
VI,Volga-Dnepr Airlines,Russia
VJ,Royal Air Cambodge,Cambodia
VK,Virgin Nigeria Airways,Nigeria
VL,Air VIA,Bulgaria
VN,Vietnam Airlines,Vietnam
VO,Tyrolean Airways,Austria
VP,VASP,Brazil
VQ,Viking Hellas,Greece
VR,TACV,Portugal
VS,Virgin Atlantic Airways,United Kingdom
VT,Air Tahiti,French Polynesia
VU,Air Ivoire,Ivory Coast
VV,Aerosvit Airlines,Ukraine
VW,Aeromar,Mexico
VX,Virgin America,United States
VY,Vueling Airlines,Spain
VZ,MyTravel Airways,United Kingdom
W1,World Experience Airline,Canada
W2,Maastricht Airlines,Netherlands
W3,World Scale Airlines,United States
W4,AeroWorld,Russia
W5,Mahan Air,Iran
W6,Wizz Air,Hungary
W7,Austral Brasil,Brazil
W9,Air Bagan,Myanmar
WA,KLM Cityhopper,Netherlands
WB,Rwandair Express,Rwanda
WC,Islena De Inversiones,Honduras
WD,Amsterdam Airlines,Netherlands
WE,Thai Smile Airways,Thailand
WF,Widerøe,Norway
WG,Sunwing,Canada
WH,China Northwest Airlines (WH),China
WJ,WebJet Linhas A,Brazil
WK,Edelweiss Air,Switzerland
WM,Windward Islands Airways,Netherlands Antilles
WN,Southwest Airlines,United States
WO,World Airways,United States
WP,Island Air (WP),United States
WQ,PanAm World Airways,United States
WR,WestJet Encore,Canada
WS,WestJet,Canada
WU,Wizz Air Ukraine,Ukraine
WV,Swe Fly,Sweden
WW,bmibaby,United Kingdom
WX,CityJet,Ireland
WY,Oman Air,Oman
WZ,Red Wings,Russia
X3,TUIfly,Germany
X5,Fly Romania,Romania
XA,XAIR USA,United States
XB,NEXT Brasil,Brazil
XE,ExpressJet,United States
XF,Vladivostok Air,Russia
XG,Calima Aviacion,Spain
XJ,Mesaba Airlines,United States
XK,Corse-Mediterranee,France
XL,Aerolane,Ecuador
XM,Alitalia Express,Italy
XN,Xpressair,Indonesia
XO,LTE International Airways,Spain
XP,XPTO,Portugal
XQ,SunExpress,Turkey
XR,Skywest Australia,Australia
XT,Air Exel,Netherlands
XV,BVI Airways,British Virgin Islands
XW,Sky Express,Russia
XX,Greenfly,Spain
XY,Nas Air,Saudi Arabia
XZ,Congo Express,Congo (Kinshasa)
Y1,Yellowstone Club Private Shuttle,United States
Y4,Volaris,Mexico
Y5,Asia Wings,Kazakhstan
Y7,NordStar Airlines,Russia
Y8,Marusya Airways,Russia
Y9,Kish Air,Iran
YC,Ciel Canadien,Canada
YD,Gomelavia,Belarus
YE,Yellowtail,United States
YH,Yangon Airways Ltd.,Burma
YK,Cyprus Turkish Airlines,Turkey
YL,Yamal Airlines,Russia
YM,Montenegro Airlines,Montenegro
YO,TransHolding System,Brazil
YQ,Polet Airlines (Priv),Russia
YR,SENIC AIRLINES,United States
YS,Régional,France
YT,Yeti Airways,Nepal
YV,Mesa Airlines,United States
YW,Air Nostrum,Spain
YX,Midwest Airlines,United States
YY,Virginwings,Germany
YZ,LSM AIRLINES,Russia
Z0,All Argentina Express,Argentina
Z2,Zest Air,Philippines
Z3,Avient Aviation,Zimbabwe
Z4,Zoom Airlines,Canada
Z5,INAVIA Internacional,Argentina
Z6,ZABAIKAL AIRLINES,Russia
Z7,REDjet,Barbados
Z8,Amaszonas,Bolivia
Z9,Flightlink Tanzania,Tanzania
ZA,Access Air,United States
ZB,Air Bourbon,Reunion
ZC,Korongo Airlines,Congo (Kinshasa)
ZE,Eastar Jet,South Korea
ZF,Athens Airways,Greece
ZG,Viva Macau,Macao
ZH,Shenzhen Airlines,China
ZI,Aigle Azur,France
ZJ,Zambezi Airlines (ZMA),Zambia
ZK,Great Lakes Airlines,United States
ZL,Regional Express,Australia
ZM,Apache Air,United States
ZN,Zenith International Airline,Thailand
ZP,Zabaykalskii Airlines,Russia
ZQ,Locair,United States
ZS,Sama Airlines,Saudi Arabia
ZT,Tomp Airlines,Chile
ZV,V Air,Taiwan
ZW,Air Wisconsin,United States
ZX,Japan Regio,Japan
ZY,Ada Air,Albania
ZZ,Zz,Belgium
